Date,Close,High,Low,Open,Volume,SMA_short,SMA_long,Signal,Return,Strategy_Return
2023-09-25,174.5699462890625,175.45231307707115,172.65649003070402,172.70606425815106,46172700,173.4965057373047,172.2311590576172,1,0.0013648989034769077,0.0013648989034769077
2023-09-12,174.7880401611328,178.58519559094336,173.32073699502078,177.95068488711692,90370200,173.61224975585938,172.32486602783203,1,0.0012493208407660106,0.0012493208407660106
2023-08-24,174.8673553466797,179.54687744583052,174.50051821034532,179.1205572949361,54945800,173.73171691894532,172.41948181152344,1,0.000453779248704711,0.000453779248704711
2024-03-19,175.02297973632812,175.54979689128342,171.9912860926869,173.29341963294198,55215200,173.85747833251952,172.5131167602539,1,0.0008899567866162972,0.0008899567866162972
2023-08-16,175.0557403564453,177.00883168990967,174.98633341606396,175.61093536777827,46964900,173.97640838623047,172.60694610595704,1,0.0001871789645366828,0.0001871789645366828
2023-11-03,175.13502502441406,175.3035803991637,171.86333827281126,172.74570493436423,79829200,174.09736175537108,172.70236114501952,1,0.00045291098599409274,0.00045291098599409274
2024-04-12,175.4901580810547,177.28929006742356,173.16420894399843,173.21389665591335,101670900,174.2221908569336,172.8031527709961,1,0.0020277671847257484,0.0020277671847257484
2023-05-31,175.49290466308594,177.57209321550437,175.0077566388477,175.57211342872856,99625300,174.33228607177733,172.90330505371094,1,1.5650917756682148e-05,1.5650917756682148e-05
2023-05-30,175.54241943359375,177.21566879798618,174.81966018947244,175.20579349606086,55964400,174.44367065429688,172.99696746826172,1,0.0002821468514802028,0.0002821468514802028
2023-10-17,175.6307373046875,176.88984988971393,173.30090022346374,175.135025356181,57549400,174.5547088623047,173.09115234375,1,0.0005031141269371542,0.0005031141269371542
2023-08-22,175.71005249023438,176.15619021692956,174.73846130997606,175.541512243613,42038900,174.6690299987793,173.185791015625,1,0.0004516019619578149,0.0004516019619578149
2023-08-15,175.92819213867188,177.94078172124355,175.53162857549793,177.34593637648265,43622600,174.78998336791992,173.27943939208984,1,0.0012414750627294246,0.0012414750627294246
2023-10-06,175.9678497314453,176.46356172729125,171.69479961979252,172.30949278163357,57266700,174.90382614135743,173.37329345703125,1,0.00022541920252416858,0.00022541920252416858
2023-09-07,176.0372314453125,176.68166607969957,172.0517029915355,173.6776376395152,112488800,175.0079261779785,173.4660903930664,1,0.0003942863083969961,0.0003942863083969961
2023-11-02,176.04718017578125,176.2553707597914,173.95527477340474,174.01475779740764,77334800,175.11103591918945,173.5567074584961,1,5.651492236657951e-05,5.651492236657951e-05
2023-06-07,176.05728149414062,179.41367589423808,175.56223798316736,176.67113061333816,61944600,175.21443939208984,173.64699676513672,1,5.737847291431564e-05,5.737847291431564e-05
2023-08-10,176.20578002929688,178.95822060931928,175.8394526832055,177.70080592181807,54686900,175.3222854614258,173.73943756103515,1,0.0008434671596424526,0.0008434671596424526
2023-08-11,176.26527404785156,177.08815781935616,175.03591791571532,175.7993186650753,52036700,175.4239074707031,173.8327001953125,1,0.0003376394267247118,0.0003376394267247118
2023-08-09,176.42361450195312,179.13644336005612,175.25530392276485,179.07704055404358,60378500,175.5284881591797,173.92893188476563,1,0.0008983077067044043,0.0008983077067044043
2023-09-18,176.4437255859375,177.84163701778533,174.65915940995401,174.9664984209427,67257600,175.63407440185546,174.02473999023437,1,0.00011399315245386177,0.00011399315245386177
2023-09-08,176.6519012451172,178.6942471635063,176.265246533602,176.82045661878996,65551300,175.7381721496582,174.1235189819336,1,0.0011798416661650268,0.0011798416661650268
2023-10-10,176.86012268066406,178.17871838563994,176.42389371024447,176.57261638357625,43698000,175.84177627563477,174.22492156982423,1,0.0011787104134133308,0.0011787104134133308
2023-08-07,177.07708740234375,181.3146590660809,175.59195672278545,180.32457194637539,97576100,175.95226287841797,174.32741149902344,1,0.001226758855479515,0.001226758855479515
2023-08-25,177.07826232910156,177.61362469655592,174.3121956960464,175.85881489972726,51449600,176.05502700805664,174.4297479248047,1,6.635114542685727e-06,6.635114542685727e-06
2023-10-16,177.18727111816406,177.54418430814493,174.99621776035116,175.23416492964753,52517000,176.16160354614257,174.53366760253905,1,0.0006155966725034379,0.0006155966725034379
2023-10-13,177.31619262695312,180.36976530628638,176.61227491408687,179.86414450043375,51427100,176.27066192626953,174.6365771484375,1,0.0007276002840130857,0.0007276002840130857
2023-06-06,177.43348693847656,178.33445457100666,175.6711182885981,178.18594757320713,64848400,176.36782836914062,174.7414453125,1,0.0006614980266930193,0.0006614980266930193
2023-10-09,177.45497131347656,177.51445432768062,174.2923266162491,175.29365932051672,42390800,176.46593170166017,174.8453466796875,1,0.00012108410520861312,0.00012108410520861312
2023-09-19,177.53428649902344,178.08948146713516,175.6109216966876,175.99757641576028,51826900,176.56552505493164,174.95064056396484,1,0.00044695950166850906,0.00044695950166850906
2024-03-20,177.59739685058594,177.59739685058594,174.03888667858465,174.6651094822859,53423100,176.66385803222656,175.0538217163086,1,0.0003554826101876962,0.0003554826101876962
2023-11-06,177.69293212890625,177.89121391765332,174.6988423245846,174.86738260141615,63841300,176.76300201416015,175.15851135253905,1,0.0005379317490823432,0.0005379317490823432
2023-06-05,177.79983520507812,183.11659785767154,176.27509267968756,180.81960374527281,121946500,176.85658416748046,175.26504486083985,1,0.0006016169292222262,0.0006016169292222262
2023-09-11,177.82177734375,178.75371815702783,175.81909698721213,178.5256949137557,58953100,176.94928054809571,175.37192016601563,1,0.0001234092182738067,0.0001234092182738067
2023-08-14,177.92095947265625,178.14898275911253,175.78938877461678,176.44373225185288,43675600,177.0434669494629,175.48018432617187,1,0.0005577614305052325,0.0005577614305052325
2023-08-08,178.0176544189453,178.48299654054432,175.81965996172053,177.90874423926195,67823000,177.1419906616211,175.58699462890624,1,0.0005434713626526477,0.0005434713626526477
2023-10-11,178.258056640625,178.30763087133224,176.0769266408882,176.6717720255812,47551100,177.2520294189453,175.69783660888672,1,0.0013504403395514508,0.0013504403395514508
2023-06-01,178.30477905273438,178.3344804566055,175.17610024638307,175.93847152997847,68901800,177.3569793701172,175.8040606689453,1,0.00026210547220073543,0.00026210547220073543
2024-03-01,178.58148193359375,179.44625436004063,176.31517027538303,178.47214167082092,73563100,177.4727897644043,175.90987030029297,1,0.0015518534182279442,0.0015518534182279442
2023-08-28,178.64466857910156,179.04123207376244,177.0187340463078,178.54552014147254,43820700,177.5838424682617,176.01646911621094,1,0.00035382529489424996,0.00035382529489424996
2023-06-08,178.78001403808594,179.04732664647344,175.70084291207064,176.1364684949153,50214900,177.70065689086914,176.12386993408202,1,0.0007576238354096709,0.0007576238354096709
2023-06-02,179.15621948242188,179.97799341291704,177.48297022337377,179.2354282464183,61996900,177.82587280273438,176.23852172851562,1,0.0021042925092051856,0.0021042925092051856
2023-10-12,179.1602325439453,180.77624333047942,177.50454119898205,178.52572180730996,56743100,177.94087829589844,176.35154388427733,1,2.2399789050275842e-05,2.2399789050275842e-05
2023-06-09,179.16615295410156,180.42355258623877,178.83942242611607,179.70079329510486,48900000,178.04533157348632,176.46104705810546,1,3.304533641301788e-05,3.304533641301788e-05
2023-08-23,179.5666961669922,179.9930163205811,176.80063007696822,176.98900304288458,52722800,178.16975326538085,176.5732763671875,1,0.002235596435411713,0.002235596435411713
2024-02-29,179.6649627685547,181.47404463933898,178.4522851813059,180.18184546980606,136682600,178.29363784790038,176.68687591552734,1,0.0005472429111861299,0.0005472429111861299
2024-01-05,179.8628387451172,181.43135417752765,178.86018676112266,180.66696287937032,62379700,178.42097015380858,176.80434844970702,1,0.0011013609638368393,0.0011013609638368393
2024-02-26,180.0724639892578,181.66284976948523,179.56551591408572,181.14598235368476,40867400,178.55291900634765,176.9248205566406,1,0.0011654727880598958,0.0011654727880598958
2023-08-04,180.18594360351562,185.52251207833032,180.11663025996506,183.68094960257173,115956800,178.6894676208496,177.04388275146485,1,0.0006301886015431801,0.0006301886015431801
2023-11-07,180.26072692871094,180.87540499500966,177.43516235233906,177.64335292992328,70530000,178.82578964233397,177.16245727539064,1,0.0004150341791357981,0.0004150341791357981
2024-02-28,180.33090209960938,182.02069366799873,179.04865286943277,181.4143549983027,48953900,178.96246490478515,177.28243530273437,1,0.00038929816879185175,0.00038929816879185175
2024-02-20,180.47006225585938,181.33483464555084,178.91942962585208,180.69867728023533,53665600,179.1013214111328,177.4004376220703,1,0.0007716933405741422,0.0007716933405741422
2024-01-04,180.58753967285156,181.7589539428833,179.5650288616003,180.82578520690032,71983600,179.24070663452147,177.51642761230468,1,0.0006509523824822505,0.0006509523824822505
2024-05-06,180.6191864013672,183.0942290168702,179.33692188523904,181.25534382134734,78569700,179.38057708740234,177.63146423339845,1,0.00017524314563988064,0.00017524314563988064
2023-11-09,180.8456573486328,182.54098393459674,180.2507968912838,181.39094357988108,53763500,179.52681198120118,177.74791778564452,1,0.0012538587498802656,0.0012538587498802656
2024-02-16,181.215576171875,183.7403368438813,180.57941874936438,182.31891336045317,49752500,179.68670806884765,177.87111450195312,1,0.002045494642589407,0.002045494642589407
2024-02-21,181.22552490234375,181.79209525720324,179.57548638259638,180.8478012209779,41371400,179.8350814819336,177.99292449951173,1,5.489997426777471e-05,5.489997426777471e-05
2024-05-07,181.30502319335938,183.79001537072006,180.23151991986552,182.34872294128857,77305800,179.98509368896484,178.10922180175783,1,0.00043867049665591296,0.00043867049665591296
2023-11-08,181.32151794433594,181.87671291239437,180.0326638382413,180.7861556902591,49340300,180.12209548950196,178.22579406738282,1,9.097790389933635e-05,9.097790389933635e-05
2023-09-06,181.34136962890625,187.23043067946264,179.91371663144653,186.7842777718091,81755800,180.25693054199218,178.34177307128905,1,0.00010948333543292499,0.00010948333543292499
